,16896,15255,16434,19178,18644,16793,16716,18296,17531,18745,9201,17075,16802,17309,17706,16908,19054,16863,17293,16999,16804,16904,18311,18211,19553,18661,18431,16970,18888,19382,17036,19035,17338,18675,17059,15622
2022-05-03T20:00:00-04:00,41.0,,,,3.0,,21.0,,,,,,,21.0,,,,17.0,,,,35.0,27.0,,,,,,,,46.0,,,,,
2022-05-03T21:00:00-04:00,19.0,,,31.0,,2.0,9.0,,2.0,23.0,,2.0,14.0,5.0,100.0,,,2.0,,3.0,2.0,,72.0,7.0,,2.0,36.0,3.0,4.0,,3.0,,6.0,,1.0,1.0
2022-05-03T23:00:00-04:00,2.0,,,,,,13.0,,15.0,1.0,23.0,22.0,16.0,,,7.0,,,18.0,,,,,,,,,15.0,,,,,1.0,,,
2022-05-04T16:00:00-04:00,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
2022-05-05T19:00:00-04:00,2.0,10.0,52.0,,,,,,,,35.0,41.0,,,,,,,12.0,,3.0,,,,,,,,,,,,,,,
2022-05-05T20:00:00-04:00,8.0,22.0,,,,,,,,,,30.0,,13.0,10.0,,,42.0,,2.0,4.0,,,,,,4.0,,,,,,,,,
2022-05-05T22:00:00-04:00,15.0,4.0,,,,,7.0,,,,,1.0,26.0,,,3.0,,,88.0,,45.0,9.0,,6.0,,,,1.0,,,67.0,1.0,1.0,,,
2022-05-05T23:00:00-04:00,1.0,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,
2022-05-07T22:00:00-04:00,11.0,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,32.0,,,,,
2022-05-08T18:00:00-04:00,27.0,,1.0,,,30.0,,,,,,,,,,,,,14.0,,,,,158.0,,,,,,,,,,,,
2022-05-08T19:00:00-04:00,19.0,,112.0,,,,,,,,,,,,,,,,69.0,,1.0,,,99.0,,20.0,,,,,,,,,,
2022-05-10T21:00:00-04:00,2.0,1.0,2.0,7.0,8.0,8.0,,,,,,,6.0,,,5.0,,20.0,26.0,1.0,1.0,,1.0,,,,6.0,12.0,,,5.0,,3.0,,,11.0
2022-05-10T22:00:00-04:00,2.0,,2.0,,1.0,17.0,3.0,1.0,2.0,15.0,,1.0,,36.0,,,,,4.0,,15.0,,,2.0,,,9.0,73.0,10.0,,,3.0,,,5.0,1.0
2022-05-12T21:00:00-04:00,2.0,1.0,,,2.0,2.0,3.0,,4.0,1.0,3.0,,,,,,3.0,10.0,11.0,3.0,1.0,,4.0,,,,,,,,,,1.0,,,1.0
2022-05-12T22:00:00-04:00,39.0,,13.0,,,,,1.0,8.0,,,7.0,1.0,,3.0,,,10.0,1.0,,,,,15.0,1.0,,2.0,4.0,,,,8.0,1.0,,8.0,
